"mm"	"nn"	"vv"	"tt"	"nx"
1039	21	22201	0	21819
768	18	11664	0	13824
796	12	8836	0	9552
619	19	3136	0	11761
830	1	0	0	830
1234	7	12100	0	8638
950	1	0	0	950
1101	5	15376	0	5505
684	3	3844	0	2052
762	3	12100	0	2286
850	1	0	0	850
788	14	8100	0	11032
700	4	12769	0	2800
1150	2	0	0	2300
241.373134328358	67	42931.8132066938	0	16172
1039	21	22201	0	21819
768	18	11664	0	13824
796	12	8836	0	9552
619	19	3136	0	11761
830	1	0	0	830
1234	7	12100	0	8638
950	1	0	0	950
1101	5	15376	0	5505
684	3	3844	0	2052
762	3	12100	0	2286
850	1	0	0	850
788	14	8100	0	11032
700	4	12769	0	2800
1150	2	0	0	2300
241.373134328358	67	42931.8132066938	0	16172
1039	21	22201	0	21819
768	18	11664	0	13824
796	12	8836	0	9552
619	19	3136	0	11761
830	1	0	0	830
1234	7	12100	0	8638
950	1	0	0	950
1101	5	15376	0	5505
684	3	3844	0	2052
762	3	12100	0	2286
850	1	0	0	850
788	14	8100	0	11032
700	4	12769	0	2800
1150	2	0	0	2300
241.373134328358	67	42931.8132066938	0	16172
